campaignId,campaignName,brand,asin,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
7564033701824,WM-SB-Monitor Arms-Defensive,White Mulberry,B0DB5VG39T,125.03,688,11,1129.8,0,0,L0_ads_api
7564033701824,WM-SB-Monitor Arms-Defensive,White Mulberry,B0DB5VVPSB,125.03,688,11,1129.8,0,0,L0_ads_api
7564033701824,WM-SB-Monitor Arms-Defensive,White Mulberry,B0DB5W4TCP,125.03,688,11,1129.8,0,0,L0_ads_api
7564033701824,WM-SB-Monitor Arms-Defensive,White Mulberry,B0DB5YTQZV,125.03,688,11,1129.8,0,0,L0_ads_api
7564033701824,WM-SB-Monitor Arms-Defensive,White Mulberry,B0DP32F346,125.03,688,11,1129.8,0,0,L0_ads_api
7564033701824,WM-SB-Monitor Arms-Defensive,White Mulberry,B0DP2Z5DQ9,125.03,688,11,1129.8,0,0,L0_ads_api
138135826216410,Camb-SB-Branded-Phrase,White Mulberry,B0BFVMDJ2K,1.34,15,0,0.0,0,0,L0_ads_api
138135826216410,Camb-SB-Branded-Phrase,White Mulberry,B0BFVNS8HS,1.34,15,0,0.0,0,0,L0_ads_api
138135826216410,Camb-SB-Branded-Phrase,White Mulberry,B0BFW59TRG,1.34,15,0,0.0,0,0,L0_ads_api
138135826216410,Camb-SB-Branded-Phrase,White Mulberry,B0BFWD6SNF,1.34,15,0,0.0,0,0,L0_ads_api
138135826216410,Camb-SB-Branded-Phrase,White Mulberry,B0CPT3Q25C,1.34,15,0,0.0,0,0,L0_ads_api
138135826216410,Camb-SB-Branded-Phrase,White Mulberry,B0DQ4YWSMC,1.34,15,0,0.0,0,0,L0_ads_api
234098539008622,Camb-SB-Defensive,White Mulberry,B0BFVMDJ2K,188.7383,917,21,0.0,0,0,L0_ads_api
234098539008622,Camb-SB-Defensive,White Mulberry,B0BFVNS8HS,188.7383,917,21,0.0,0,0,L0_ads_api
234098539008622,Camb-SB-Defensive,White Mulberry,B0BFW59TRG,188.7383,917,21,0.0,0,0,L0_ads_api
234098539008622,Camb-SB-Defensive,White Mulberry,B0BFWD6SNF,188.7383,917,21,0.0,0,0,L0_ads_api
234098539008622,Camb-SB-Defensive,White Mulberry,B0CPT3Q25C,188.7383,917,21,0.0,0,0,L0_ads_api
234098539008622,Camb-SB-Defensive,White Mulberry,B0DQ4YWSMC,188.7383,917,21,0.0,0,0,L0_ads_api
294882590177639,WM- SBV-Wall Mounted Stand- B0DP2WC5VW- Phrase & exact,White Mulberry,B0DP2WC5VW,9172.87,57072,615,41427.12,16,14,L0_ads_api
324360739426689,Camb-SB-Multiple Asin- product collection- Reach,White Mulberry,B0CPT3Q25C,2115.3633,17080,287,41993.21,5,5,L0_ads_api
324360739426689,Camb-SB-Multiple Asin- product collection- Reach,White Mulberry,B0DQ4YWSMC,2115.3633,17080,287,41993.21,5,5,L0_ads_api
324360739426689,Camb-SB-Multiple Asin- product collection- Reach,White Mulberry,B0DQ1NV8D2,2115.3633,17080,287,41993.21,5,5,L0_ads_api
333757065487521,WM-SBV-Gas Spring MA- B0DB5VG39T- Phrase,White Mulberry,B0DB5VG39T,11403.66,80690,685,36556.76,16,16,L0_ads_api
375170166706435,Camb-SB-Multiple Asin- Product collection- exact /Reach,White Mulberry,B0CPFS24ML,2396.58,26551,1072,91630.49,14,14,L0_ads_api
375170166706435,Camb-SB-Multiple Asin- Product collection- exact /Reach,White Mulberry,B0BFVMDJ2K,2396.58,26551,1072,91630.49,14,14,L0_ads_api
479490273450627,WM- SBV- Wooden Arm- B0DP32F346- Phrase,White Mulberry,B0DP32F346,3660.61,31519,312,11848.32,4,4,L0_ads_api
