campaignId,campaignName,brand,asin,spend,impressions,clicks,attributed_sales,units_sold,ams_orders,method
2018103931581,Nexlev-B0F43P6D23-Steam Cleaner-SB-KT-Phrase,Nexlev,B0F43P6D23,303.07,5989,30,1185.59,1,1,L0_ads_api
2018103931581,Nexlev-B0F43P6D23-Steam Cleaner-SB-KT-Phrase,Nexlev,B0CDPP45BM,303.07,5989,30,1185.59,1,1,L0_ads_api
2018103931581,Nexlev-B0F43P6D23-Steam Cleaner-SB-KT-Phrase,Nexlev,B0D672NXC8,303.07,5989,30,1185.59,1,1,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0D67727VG,4442.3733,46158,303,13685.73,11,11,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0DKK15YNJ,4442.3733,46158,303,13685.73,11,11,L0_ads_api
7555447901223,Nexlev -Catch All- Scalp Massager-SB-KT-Exact/Phrase,Nexlev,B0DCGHKRXX,4442.3733,46158,303,13685.73,11,11,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0DCK7ZH5P,79.18,1964,6,0.0,0,0,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0CYSLCRQS,79.18,1964,6,0.0,0,0,L0_ads_api
10079137456070,Nexlev-Vacuum Cleaner-Branded,Nexlev,B0DKJSCLBD,79.18,1964,6,0.0,0,0,L0_ads_api
10586586169014,Nexlev-B0CDPP45BM-Cleaning Machine-SB-PT,Nexlev,B0F43P6D23,224.4233,5612,20,0.0,0,0,L0_ads_api
10586586169014,Nexlev-B0CDPP45BM-Cleaning Machine-SB-PT,Nexlev,B0CDPP45BM,224.4233,5612,20,0.0,0,0,L0_ads_api
10586586169014,Nexlev-B0CDPP45BM-Cleaning Machine-SB-PT,Nexlev,B0D672NXC8,224.4233,5612,20,0.0,0,0,L0_ads_api
26720646641055,Nexlev-B0CYSLCRQS-Vacuum Cleaner -SB-KT-Phrase(Video),Nexlev,B0CYSLCRQS,757.4,2896,63,2541.52,1,1,L0_ads_api
31984641326753,Nex_HPC_SB_KT_Banner_Volumizer,Nexlev,B0DQ8W1RBV,582.9067,12662,26,0.0,0,0,L0_ads_api
31984641326753,Nex_HPC_SB_KT_Banner_Volumizer,Nexlev,B0D83Q7L8W,582.9067,12662,26,0.0,0,0,L0_ads_api
